Table Name,ID,Parent ID,Change Type,Attribute,Original Value,New Value
Audit History,165203162,N/A,INSERT,,,
Audit History,165203754,N/A,INSERT,,,
Audit History,165203786,N/A,INSERT,,,
Primary Wire,217524840,217524835,UPDATE,phase,C,A
Primary Wire,217524936,217524935,UPDATE,status,Existing,Deleted
OH Primary,217524872,N/A,UPDATE,installed_length,79,77
Audit History,165203085,N/A,INSERT,,,
Audit History,165202365,N/A,INSERT,,,
Audit History,165202397,N/A,INSERT,,,
Audit History,165203117,N/A,INSERT,,,
Audit History,165203413,N/A,INSERT,,,
Audit History,165203445,N/A,INSERT,,,
Audit History,165203221,N/A,INSERT,,,
Audit History,165203253,N/A,INSERT,,,
Audit History,165203568,N/A,INSERT,,,
Audit History,165203536,N/A,INSERT,,,
Audit History,165204384,N/A,INSERT,,,
Audit History,165204416,N/A,INSERT,,,
Audit History,165202369,N/A,INSERT,,,
Audit History,165202401,N/A,INSERT,,,
Audit History,165202177,N/A,INSERT,,,
Audit History,165202209,N/A,INSERT,,,
Audit History,165202456,N/A,INSERT,,,
Audit History,165202488,N/A,INSERT,,,
Audit History,165202520,N/A,INSERT,,,
Audit History,165202648,N/A,INSERT,,,
Audit History,165203131,N/A,INSERT,,,
Audit History,165203195,N/A,INSERT,,,
Capacitor Rack,233788119,N/A,UPDATE,capacitor_protection_type,Unknown,Externally Fused
